Address,Bedrooms,Bathrooms,Area(sqft),Year Built,Parking,Price($),Location,Price/Sqft
T1600 Plan in The Overlook at Central State by M/I Homes,2,3,1734,2023,no,294990,Indianapolis,170.12
8161 Shores Edge Way,2,2,1576,2005,yes,198000,Indianapolis,125.63
7910 Frye Rd,3,3,3565,1997,yes,525000,Indianapolis,147.27
7134 Woodside Dr,4,3,1891,1960,yes,245000,Indianapolis,129.56
1646 Arley Dr,3,2,1986,1972,yes,229000,Indianapolis,115.31
2915 Wolfgang Dr,3,3,1848,2005,yes,224900,Indianapolis,121.7
6040 Paperbark Way,3,2,1969,2023,yes,399000,Indianapolis,202.64
901 W  Roache St,4,2,2196,1910,no,225000,Indianapolis,102.46
10823 Green Meadow Pl,4,3,2544,2004,yes,279900,Indianapolis,110.02
3418 Carnation Ct,4,4,3164,1994,yes,324900,Indianapolis,102.69
4437 Ralston Ave,3,2,1020,1949,no,197500,Indianapolis,193.63
8101 Spring Mill Rd,3,4,4394,1961,yes,870000,Indianapolis,198.0
1108 N  Ridgeview Dr,4,2,1348,1963,yes,259900,Indianapolis,192.8
5630 Susan Dr E,3,2,1648,1958,yes,344995,Indianapolis,209.34
1826 Tallman Ave,2,2,896,1910,no,85000,Indianapolis,94.87
7317 Harcourt Rd,3,2,1493,1959,yes,249900,Indianapolis,167.38
5404 Allero Dr,3,3,1950,2002,yes,215000,Indianapolis,110.26
3601 Miesha Dr,5,3,3248,2016,yes,365000,Indianapolis,112.38
714 Buchanan St #17,2,2,1643,1873,yes,300000,Indianapolis,182.59
6595 Madison Ave,3,3,3965,1930,yes,365000,Indianapolis,92.06
5204 E  10th St,2,2,2480,1928,yes,217000,Indianapolis,87.5
8523 Bison Woods Ct,3,3,1524,1998,yes,207000,Indianapolis,135.83
4714 Eagles Watch Ln,3,2,1473,1993,yes,269900,Indianapolis,183.23
8210 E  Hanna Ave,4,3,2170,1924,yes,140000,Indianapolis,64.52
8908 Trumpeter Dr,3,2,1540,2001,yes,279900,Indianapolis,181.75
6346 Brookdale Dr,4,2,1462,1958,yes,259900,Indianapolis,177.77
1624 N  Delaware St #B,3,2,1525,2005,yes,290000,Indianapolis,190.16
6336 Sagewood Ct,4,4,2870,1996,yes,333000,Indianapolis,116.03
505 N  Park Ave,2,3,1904,2007,yes,408900,Indianapolis,214.76
Kingston Plan in Glenwood by Lennar,5,3,2736,2023,no,365995,Indianapolis,133.77
1730 S  State Ave,2,1,704,1950,yes,159900,Indianapolis,227.13
1442 N  New Jersey St,3,3,2885,1905,yes,405000,Indianapolis,140.38
Norway Plan in Trails at Grassy Creek by Arbor Homes,4,3,2971,2023,no,318995,Indianapolis,107.37
5345 Hawks Point Rd,4,3,2775,1977,yes,349000,Indianapolis,125.77
3251 Capsella Ln,4,2,1714,2001,yes,232000,Indianapolis,135.36
Holcombe Plan in Trotters Landing by D.R. Horton - Indianapolis,4,3,2356,2023,no,361370,Indianapolis,153.38
5664 Brownstone Dr   #5,2,3,1991,2006,yes,232700,Indianapolis,116.88
5125 Ford St,2,1,950,1953,no,195000,Indianapolis,205.26
2618 Winthrop Ave,4,3,2187,2022,yes,500000,Indianapolis,228.62
5780 E  19th St,2,2,1198,1956,yes,95000,Indianapolis,79.3
3506 Winchester Dr,3,2,1960,1978,yes,175000,Indianapolis,89.29
Heyden Plan in Edgewood Farms by D.R. Horton - Indianapolis,3,2,1822,2023,no,345000,Indianapolis,189.35
17 N  Traub Ave,3,2,1354,2022,yes,224999,Indianapolis,166.17
10302 E  Rouark Ln,4,3,2480,1972,yes,270000,Indianapolis,108.87
615 N  Denny St,3,2,1302,1922,yes,190000,Indianapolis,145.93
6506 Oakview Dr N,3,2,2094,1960,yes,228000,Indianapolis,108.88
Clayton Wakarusa - 5628-560 Plan in Highland Farms by Cohron's Manufactured Homes,3,2,1568,2023,no,130000,Indianapolis,82.91
2518 Highland Pl,2,1,1576,1920,yes,139000,Indianapolis,88.2
3644 W  69th St,3,3,1874,1960,yes,320000,Indianapolis,170.76
4238 Foxglove Trce,2,2,1202,1974,yes,129999,Indianapolis,108.15
947 Elm St,3,4,3310,2019,yes,575000,Indianapolis,173.72
8633 Douglaston Ct,3,3,1608,1994,yes,239900,Indianapolis,149.19
8033 Little River Ln,4,3,2157,2007,yes,297000,Indianapolis,137.69
3432 Otisco Ln,3,3,1660,2006,yes,270000,Indianapolis,162.65
Exclusives 3649 Plan in Parks at Glen Ridge by Pyatt Builders,4,3,3649,2023,yes,430000,Indianapolis,117.84
2948 Guilford Ave,4,4,3533,1916,yes,399000,Indianapolis,112.94
7528 Chestnut Hills Dr,5,4,3572,1993,yes,449995,Indianapolis,125.98
1287 Constitution Dr,4,3,2444,2001,yes,310000,Indianapolis,126.84
Tannin Plan in The Townes at Kennedy-King by Onyx+East,3,4,1430,2023,yes,369900,Indianapolis,258.67
2814 Stuart St,2,1,810,1910,no,75000,Indianapolis,92.59
2302 Prospect St,4,6,3200,2023,yes,699000,Indianapolis,218.44
350 N  Meridian St #704,2,2,1499,2005,yes,369500,Indianapolis,246.5
635 Marion Ave,3,1,1200,2010,no,150000,Indianapolis,125.0
2554 S  Wayward Wind Dr,4,3,3366,1989,yes,427500,Indianapolis,127.01
3713 N  Wittfield St,4,1,1199,1961,no,156000,Indianapolis,130.11
3758 Broadway St,4,2,2542,1906,yes,460000,Indianapolis,180.96
4756 Stratford Ave,2,1,2198,1944,yes,199900,Indianapolis,90.95
3723 N  Lombardy Pl,4,1,925,1960,no,156000,Indianapolis,168.65
3616 Paddington Cir,3,2,1616,1988,yes,284900,Indianapolis,176.3
8915 William Penn Cir,6,5,5854,1994,yes,915000,Indianapolis,156.3
6421 E  13th St,2,1,1777,1955,yes,199900,Indianapolis,112.49
8743 Potters Cove Ct,5,4,5173,2012,yes,974900,Indianapolis,188.46
2211 Station St,3,1,1423,1900,no,100000,Indianapolis,70.27
2018 Hoyt Ave,2,2,916,1910,yes,250000,Indianapolis,272.93
1030 N  Sheffield Ave,2,1,778,1920,no,115000,Indianapolis,147.81
1630 E  18th St,2,1,1192,1910,no,100000,Indianapolis,83.89
7227 Glenwick Blvd,4,3,2169,2001,yes,315000,Indianapolis,145.23
Chatham Plan in Fields at New Bethel by D.R. Horton - Indianapolis,4,2,1771,2023,no,354900,Indianapolis,200.4
3301 N  Arsenal Ave,2,1,1728,1926,yes,90000,Indianapolis,52.08
417 N  Goodlet Ave,3,3,2036,1920,no,220000,Indianapolis,108.06
7818 Ashtree Dr,4,3,3482,1996,yes,499000,Indianapolis,143.31
6327 Black Oaks Way,4,3,2575,2001,yes,299999,Indianapolis,116.5
Hampshire Plan in Glenwood by Lennar,5,3,2422,2023,no,356995,Indianapolis,147.4
Cambridge Plan in Fulton by Onyx+East,3,3,2689,2023,yes,779500,Indianapolis,289.88
4716 N  Longworth Ave,2,1,936,1914,no,165000,Indianapolis,176.28
4020 Waterfield Dr,3,2,1970,2001,yes,261495,Indianapolis,132.74
4312 White Coat Dr,5,4,3054,2019,yes,399000,Indianapolis,130.65
T1500 Plan in The Overlook at Central State by M/I Homes,2,3,1518,2023,no,276990,Indianapolis,182.47
6406 Nightshade Dr,3,3,2035,2002,yes,285000,Indianapolis,140.05
7542 Higdon Ct,3,2,2042,1984,yes,185000,Indianapolis,90.6
4155 Waterthrush Dr,4,3,2543,1996,yes,314900,Indianapolis,123.83
7210 N  Carroll Rd,3,2,1470,1994,yes,267900,Indianapolis,182.24
Lafayette Plan in Edgewood Farms by D.R. Horton - Indianapolis,3,2,1583,2023,no,330000,Indianapolis,208.46
Legacy 2537 Plan in Highlands at Grassy Creek by Pyatt Builders,3,3,2537,2023,yes,312000,Indianapolis,122.98
8334 Frye Rd,3,2,1434,1969,yes,249900,Indianapolis,174.27
Madrona Rooftop Plan in Colere by Onyx+East,2,3,1876,2023,yes,474900,Indianapolis,253.14
2717 N  Dearborn St,3,2,1400,2020,no,210000,Indianapolis,150.0
2849 N  New Jersey St,3,3,2448,1900,yes,350000,Indianapolis,142.97
326 Bangor Dr,3,2,2065,1960,yes,325000,Indianapolis,157.38
10707 Crane Dr,2,2,2093,2007,yes,314900,Indianapolis,150.45
2332 Durham Dr,3,2,1592,1940,yes,249000,Indianapolis,156.41
Manchester Plan in Fulton by Onyx+East,3,4,2441,2023,yes,679062,Indianapolis,278.19
1434 English Ave,4,4,3128,1955,yes,475000,Indianapolis,151.85
5541 Whirlaway Ln,3,2,1456,1977,yes,245000,Indianapolis,168.27
7219 Wooden Grange Dr,4,2,1632,2020,yes,385000,Indianapolis,235.91
3965 N  Meridian St #5E,1,1,847,1965,yes,149500,Indianapolis,176.51
2457 N  Parker Ave,3,1,1068,1965,no,90000,Indianapolis,84.27
936 N  Oxford St,2,1,1822,1920,yes,159900,Indianapolis,87.76
Valencia Plan in Glenwood by Lennar,5,4,3054,2023,no,382995,Indianapolis,125.41
Foster Plan in Indigo Run by Fischer Homes,4,2,2954,2023,no,413990,Indianapolis,140.15
Chestnut Plan in Trails at Grassy Creek by Arbor Homes,3,2,1801,2023,no,270995,Indianapolis,150.47
Tannin with Terrace Plan in The Townes at Kennedy-King by Onyx+East,2,2,1300,2023,yes,327600,Indianapolis,252.0
Legacy 2537 Plan in Parks at Glen Ridge by Pyatt Builders,3,3,2537,2023,yes,378000,Indianapolis,148.99
Henley Plan in Trotters Landing by D.R. Horton - Indianapolis,5,3,2600,2023,no,375000,Indianapolis,144.23
2829 Wheeler St,3,2,1400,2020,no,213000,Indianapolis,152.14
Charleston Plan in Village at New Bethel - Patio Homes by D.R. Horton - Indianapolis,2,2,1579,2023,no,275000,Indianapolis,174.16
3615 S  Rural St,3,3,1916,1853,yes,429900,Indianapolis,224.37
Legacy 2026 Plan in Highlands at Grassy Creek by Pyatt Builders,3,3,2026,2023,yes,299000,Indianapolis,147.58
