Address,Bedrooms,Bathrooms,Area(sqft),Year Built,Parking,Price($),Location,Price/Sqft
5526 Yeager Ct,4,2,2040,1974,yes,186500,Indianapolis,91.42
8195 N  Michigan Rd,4,3,3888,1957,yes,1200000,Indianapolis,308.64
3841 E  31st St,3,1,1278,1923,yes,85000,Indianapolis,66.51
536 N  Belmont Ave,3,1,1128,1910,no,79900,Indianapolis,70.83
7048 Milano Dr,5,4,5419,2013,yes,730000,Indianapolis,134.71
8355 Central Ave,3,2,1493,1955,yes,399000,Indianapolis,267.25
Denali Plan in Edgewood Farms by D.R. Horton - Indianapolis,4,3,3432,2023,no,500000,Indianapolis,145.69
8036 E  13th St,3,2,1475,1966,yes,225000,Indianapolis,152.54
2018 N  Olney St,3,2,1400,2020,no,210000,Indianapolis,150.0
8132 S  Meridian St,3,2,1326,1962,yes,279900,Indianapolis,211.09
3711 Whistlewood Ln,3,2,1222,2003,yes,224500,Indianapolis,183.72
12058 Country Side Dr,3,2,1801,2020,yes,286900,Indianapolis,159.3
Legacy 3040 Plan in Highlands at Grassy Creek by Pyatt Builders,5,3,3040,2023,yes,328000,Indianapolis,107.89
1056 Hosbrook St,3,3,2044,1910,yes,525000,Indianapolis,256.85
2614 N  Belmar Ave,3,1,1620,1959,yes,165000,Indianapolis,101.85
322 N  Elder Ave,3,1,1032,1962,no,150000,Indianapolis,145.35
5260 Woodside Dr,3,2,3807,1949,yes,362000,Indianapolis,95.09
Address Not Disclosed,5,2,1196,1959,yes,260000,Indianapolis,217.39
10629 Pine Valley Path,3,2,2254,2004,yes,285000,Indianapolis,126.44
36 N  Kenyon St,3,2,2470,1926,yes,310000,Indianapolis,125.51
331 Central State Blvd,3,3,1757,2023,yes,348805,Indianapolis,198.52
5821 N  Washington Blvd,4,3,3896,1930,yes,795000,Indianapolis,204.06
8324 Lake Tree Ln,4,3,1850,2001,yes,275000,Indianapolis,148.65
5210 Triple Crown Way,3,3,2317,2023,yes,369000,Indianapolis,159.26
7449 Pawtucket Ct,4,2,1523,1973,yes,359900,Indianapolis,236.31
719 E  New York St,3,3,3200,2014,yes,1275000,Indianapolis,398.44
838 E  Thompson Rd,2,2,2340,1981,yes,235000,Indianapolis,100.43
719 Carlyle Pl,2,1,1635,1922,yes,170000,Indianapolis,103.98
19 N  Sheridan Ave,4,2,3174,1920,no,175000,Indianapolis,55.14
3364 N  Park Ave,4,3,2550,1928,yes,419900,Indianapolis,164.67
4707 Guilford Ave,4,2,1792,1925,no,150000,Indianapolis,83.71
6607 E  43rd Pl,3,1,900,1958,yes,172500,Indianapolis,191.67
