Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
1976 74th Ave,3 Beds,1 Bath,"1,626 sqft",Year Built: 1925,1 Car Garage,"$170,000",Philadelphia
2123 74th Ave,3 Beds,1 Bath,"1,274 sqft",Year Built: 1950,1 Car Garage,"$225,000",Philadelphia
4847 Pulaski Ave,5 Beds,3 Baths,"2,403 sqft",Year Built: 1930,Open Parking,"$210,000",Philadelphia
873 N  30th St,3 Beds,1 Bath,"1,128 sqft",Year Built: 1920,Open Parking,"$299,900",Philadelphia
2314 N  Broad St,6 Beds,3 Baths,"3,690 sqft",Year Built: 1915Year Renovated: 2023,Open Parking,"$599,900",Philadelphia
2506 N  17th St,6 Beds,,"1,980 sqft",Year Built: 1915,Open Parking,"$299,900",Philadelphia
1834 W  Rockland St,4 Beds,1 Bath,"1,270 sqft",Year Built: 1929,Open Parking,"$185,000",Philadelphia
1802 Lindley Ave,3 Beds,2 Baths,"1,620 sqft",Year Built: 1915Year Renovated: 2022,1 Car Garage,"$125,000",Philadelphia
4440 Penn St,3 Beds,1 Bath,"1,012 sqft",Year Built: 1920,Open Parking,"$109,900",Philadelphia
4666 Penn St,5 Beds,2 Baths,"3,192 sqft",Year Built: 1940,Open Parking,"$160,000",Philadelphia
3109 Memphis St,3 Beds,2 Baths,"1,138 sqft",Year Built: 1925,Open Parking,"$189,500",Philadelphia
3082 Janney St,3 Beds,2 Baths,"1,650 sqft",Year Built: 1910,Open Parking,"$248,900",Philadelphia
2441 N  Napa St,2 Beds,2 Baths,936 sqft,Year Built: 1915,Open Parking,"$99,900",Philadelphia
2827 W  Girard Ave,3 Beds,,"3,561 sqft",Year Built: 1915,Open Parking,"$899,999",Philadelphia
2641 Emerald St,3 Beds,2 Baths,"1,716 sqft",Year Built: 1875,Open Parking,"$294,900",Philadelphia
2628 Coral St,3 Beds,1 Bath,"1,377 sqft",Year Built: 1875Year Renovated: 2023,Open Parking,"$289,900",Philadelphia
2600 Cedar St,3 Beds,2 Baths,"1,430 sqft",Year Built: 1925,Open Parking,"$385,000",Philadelphia
1739 Fontain St,5 Beds,3 Baths,"1,300 sqft",Year Built: 1925,Open Parking,"$249,000",Philadelphia
3134 French St,3 Beds,2 Baths,970 sqft,Year Built: 1915,Open Parking,"$200,000",Philadelphia
1805 N  Newkirk St,3 Beds,1 Bath,"1,050 sqft",Year Built: 1925,Open Parking,"$125,000",Philadelphia
932 E  Ontario St,,,,,No Info,"$35,000",Philadelphia
4123 Claridge St,2 Beds,1 Bath,654 sqft,Year Built: 1925,2 Open Spaces,"$175,000",Philadelphia
2255 Greenwich St,2 Beds,3 Baths,"1,298 sqft",Year Built: 1923,Open Parking,"$329,000",Philadelphia
2921 N  Taylor St,3 Beds,1 Bath,920 sqft,Year Built: 1925Year Renovated: 2023,None,"$165,000",Philadelphia
3365 Vaux St,3 Beds,2 Baths,"1,184 sqft",Year Built: 1940,Open Parking,"$335,000",Philadelphia
322 Roseberry St,3 Beds,2 Baths,"1,200 sqft",Year Built: 1920,Open Parking,"$269,900",Philadelphia
2108 S  7th St,5 Beds,2 Baths,"1,644 sqft",Year Built: 1920,Open Parking,"$269,900",Philadelphia
1847 S  12th St,4 Beds,2 Baths,"1,800 sqft",Year Built: 1925,Open Parking,"$250,000",Philadelphia
2246 S  66th St,3 Beds,2 Baths,"1,110 sqft",Year Built: 1925,1 Car Garage,"$194,900",Philadelphia
6509 Regent St,3 Beds,1 Bath,"1,092 sqft",Year Built: 1920,Open Parking,"$99,900",Philadelphia
2743 E  Venango St,4 Beds,2 Baths,"1,554 sqft",Year Built: 1920,Open Parking,"$295,500",Philadelphia
1422 N  Willington St,6 Beds,4 Baths,"2,032 sqft",Year Built: 1915,Open Parking,"$469,900",Philadelphia
1106 S  Peach St,3 Beds,2 Baths,960 sqft,Year Built: 1925Year Renovated: 2023,Open Parking,"$195,000",Philadelphia
1031 S  Ithan St,3 Beds,1 Bath,992 sqft,Year Built: 1925,None,"$119,900",Philadelphia
5843 Woodcrest Ave,3 Beds,2 Baths,"1,532 sqft",Year Built: 1925,Garage,"$150,000",Philadelphia
6636 Akron St,3 Beds,1 Bath,"1,164 sqft",Year Built: 1950,Open Parking,"$250,000",Philadelphia
3343 Tyson Ave,3 Beds,1 Bath,"1,333 sqft",Year Built: 1950,No Info,"$245,000",Philadelphia
1827 Tustin St,3 Beds,2 Baths,"1,000 sqft",Year Built: 1956,1 Car Garage,"$285,000",Philadelphia
2815 Chase Rd,3 Beds,1 Bath,"1,164 sqft",Year Built: 1956,1 Car Garage,"$285,000",Philadelphia
4 Country Lane Way,3 Beds,3 Baths,"2,250 sqft",Year Built: 1986,2 Car Garage,"$427,900",Philadelphia
307 Buxmont St,3 Beds,2 Baths,"1,496 sqft (on 0.29 acres)",Year Built: 1962,5 Open Spaces,"$379,900",Philadelphia
815 E  Tulpehocken St,3 Beds,1 Bath,"1,200 sqft",Year Built: 1925,None,"$185,000",Philadelphia
5214 Delancey St,3 Beds,1 Bath,"1,246 sqft",Year Built: 1925,Open Parking,"$209,900",Philadelphia
255 S  56th St,3 Beds,1 Bath,"1,280 sqft",Year Built: 1925,None,"$125,000",Philadelphia
5522 N  7th St,3 Beds,2 Baths,"1,130 sqft",Year Built: 1940,Open Parking,"$199,988",Philadelphia
5705 Erdrick St,3 Beds,1 Bath,"1,120 sqft",Year Built: 1945,Open Parking,"$189,900",Philadelphia
5106 Tulip St,3 Beds,1 Bath,"1,095 sqft",Year Built: 1935,Open Parking,"$164,900",Philadelphia
3306 Rhawn St,4 Beds,2 Baths,"1,828 sqft (on 0.26 acres)",Year Built: 1949,4 Open Spaces,"$299,900",Philadelphia
3308 Rhawn St,3 Beds,1 Bath,"1,758 sqft",Year Built: 1949,Open Parking,"$249,900",Philadelphia
3589 Nottingham Ln,3 Beds,1 Bath,"1,260 sqft",Year Built: 1964,1 Car Garage,"$283,000",Philadelphia
1601 Spring Garden St #207,1 Bed,1 Bath,538 sqft,Year Built: 1832,Open Parking,"$168,500",Philadelphia
1619 Spruce St #3,1 Bed,1 Bath,700 sqft,Year Built: 1900,None,"$280,000",Philadelphia
300 Byberry Rd #104,1 Bed,1 Bath,638 sqft,Year Built: 1960,1 Parking Spaces,"$175,000",Philadelphia
