Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
404 Eclipse Dr,5 Beds,5 Baths,"4,994 sqft",Year Built: 2016,2 Car Garage,"$1,100,000",Colorado Springs
4899 Turning Leaf Way,3 Beds,3 Baths,"2,296 sqft",Year Built: 2005,2 Car Garage,"$459,000",Colorado Springs
Fleetwood Broadmore 2021 Plan in Sleepy Valley Community by Medallion Homes,2 Beds,2 Baths,728 sqft,Year Built: 2023,No Info,"$80,000+",Colorado Springs
3350 Viero Dr,4 Beds,4 Baths,"2,386 sqft",Year Built: 2004,2 Car Garage,"$475,000",Colorado Springs
Willowwood II Plan in TimberRidge by Vantage Homes,5 Beds,4 Baths,"4,081 sqft",Year Built: 2023,Garage,"$721,300+",Colorado Springs
7310 Winding Oaks Dr,4 Beds,4 Baths,"3,924 sqft (on 0.90 acres)",Year Built: 1999,3 Car Garage,"$979,000",Colorado Springs
5130 Slickrock Dr,3 Beds,2 Baths,"1,788 sqft",Year Built: 1994,2 Car Garage,"$430,000",Colorado Springs
24 E  Fountain Blvd,2 Beds,1 Bath,"1,029 sqft",Year Built: 1899,Garage,"$355,000",Colorado Springs
221 Plan in Hannah Ridge by Classic Homes,3 Beds,3 Baths,"1,792 sqft",Year Built: 2023,No Info,"$493,095+",Colorado Springs
Deerfield Plan in Trailside at Cottonwood Creek by David Weekley Homes,3 Beds,3 Baths,"2,005 sqft",Year Built: 2023,No Info,"$582,990+",Colorado Springs
Urban - Somerset Plan in Timber Ridge by Classic Homes,4 Beds,3 Baths,"3,867 sqft",Year Built: 2023,Garage,"$695,900+",Colorado Springs
12457 Pensador Dr,5 Beds,4 Baths,"3,800 sqft (on 0.31 acres)",Year Built: 2022,4 Car Garage,"$1,200,000",Colorado Springs
2652 Ryans Oak Vw,,,,,No Info,"$235,000",Colorado Springs
